id,body,user_id,user_login,message_source,message_type,avatar_url,avatar_url_ssl,investor_relations,private_relations,reply_count,reply_parent,chart,forex,future,filtered,followers,following,recommended,mention_ids,stock_ids,stock_symbols,in_reply_to_message_id,in_reply_to_user_id,in_reply_to_user_login,updated_at,created_at
408041,@sorenmacbeth how do you set up a new group,5,howardlindzon,default,normal,http://avatars.stocktwits.com/production/5/thumb-1314510834.png?408041,https://s3.amazonaws.com/st-avatars/production/5/thumb-1314510834.png?408041,false,false,0,false,false,false,false,false,0,0,true,3,,,,3,sorenmacbeth,Sun Jul 12 02:51:42 UTC 2009,Sun Jul 12 02:51:42 UTC 2009
408043,"@howardlindzon click on groups in the menu bar, then click the &amp;#39;groups owned&amp;#39; tab, then click the new group button.",3,sorenmacbeth,default,normal,http://avatars.stocktwits.com/production/3/thumb-1315848023.png?408043,https://s3.amazonaws.com/st-avatars/production/3/thumb-1315848023.png?408043,false,false,0,false,false,false,false,false,2,0,true,5,,,,5,howardlindzon,Sun Jul 12 02:55:26 UTC 2009,Sun Jul 12 02:55:26 UTC 2009
408053,@sorenmacbeth whats the verdict so far...like the list you sent me...need to work on profiles and features on freeeee,5,howardlindzon,default,normal,http://avatars.stocktwits.com/production/5/thumb-1314510834.png?408053,https://s3.amazonaws.com/st-avatars/production/5/thumb-1314510834.png?408053,false,false,0,false,false,false,false,false,0,0,true,3,,,,3,sorenmacbeth,Sun Jul 12 03:10:23 UTC 2009,Sun Jul 12 03:10:23 UTC 2009
408128,hey gang - loaded nicely - gonna take it for a spin now!,6,tonysphere,default,normal,http://avatars.stocktwits.com/production/6/thumb-1251775948.png?408128,https://s3.amazonaws.com/st-avatars/production/6/thumb-1251775948.png?408128,false,false,0,false,false,false,false,false,0,0,true,,,,,,,Sun Jul 12 04:43:15 UTC 2009,Sun Jul 12 04:43:15 UTC 2009
408138,"slick so far, kudos - a bit hard to see the black type on a grey background",6,tonysphere,default,normal,http://avatars.stocktwits.com/production/6/thumb-1251775948.png?408138,https://s3.amazonaws.com/st-avatars/production/6/thumb-1251775948.png?408138,false,false,0,false,false,false,false,false,0,1,true,,,,,,,Sun Jul 12 04:53:17 UTC 2009,Sun Jul 12 04:53:17 UTC 2009
408144,@tonysphere wooooooooo its fast ,5,howardlindzon,default,normal,http://avatars.stocktwits.com/production/5/thumb-1314510834.png?408144,https://s3.amazonaws.com/st-avatars/production/5/thumb-1314510834.png?408144,false,false,0,false,false,false,false,false,0,0,true,6,,,,6,tonysphere,Sun Jul 12 05:01:30 UTC 2009,Sun Jul 12 05:01:30 UTC 2009
408148,@tonysphere welcome to stocktwits premium alpha :),3,sorenmacbeth,default,normal,http://avatars.stocktwits.com/production/3/thumb-1315848023.png?408148,https://s3.amazonaws.com/st-avatars/production/3/thumb-1315848023.png?408148,false,false,0,false,false,false,false,false,3,1,true,6,,,,6,tonysphere,Sun Jul 12 05:08:29 UTC 2009,Sun Jul 12 05:08:29 UTC 2009
408152, bit.ly working well: http://bit.ly/IUJPr,3,sorenmacbeth,default,normal,http://avatars.stocktwits.com/production/3/thumb-1315848023.png?408152,https://s3.amazonaws.com/st-avatars/production/3/thumb-1315848023.png?408152,false,false,0,false,false,false,false,false,3,1,true,,,,,,,Sun Jul 12 05:13:45 UTC 2009,Sun Jul 12 05:13:45 UTC 2009
408157,@sorenmacbeth what about the stk.bitly,5,howardlindzon,default,normal,http://avatars.stocktwits.com/production/5/thumb-1314510834.png?408157,https://s3.amazonaws.com/st-avatars/production/5/thumb-1314510834.png?408157,false,false,0,false,false,false,false,false,0,0,true,3,,,,3,sorenmacbeth,Sun Jul 12 05:18:56 UTC 2009,Sun Jul 12 05:18:56 UTC 2009
408166,@tonysphere retweet yourself to get a gold star but be careful...you could go blind :),5,howardlindzon,default,normal,http://avatars.stocktwits.com/production/5/thumb-1314510834.png?408166,https://s3.amazonaws.com/st-avatars/production/5/thumb-1314510834.png?408166,false,false,0,false,false,false,false,false,0,0,true,6,,,,6,tonysphere,Sun Jul 12 05:47:46 UTC 2009,Sun Jul 12 05:47:46 UTC 2009
