id,body,user_id,user_login,message_source,message_type,avatar_url,avatar_url_ssl,investor_relations,private_relations,reply_count,reply_parent,chart,forex,future,filtered,followers,following,recommended,mention_ids,stock_ids,stock_symbols,in_reply_to_message_id,in_reply_to_user_id,in_reply_to_user_login,updated_at,created_at
2654236,$MUR http://chart.ly/as6rbvl Stalking today. Gap down on poor earnings guidance. Fell through 50% fib. Now trying to hold abv 64,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2654236,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2654236,false,false,0,false,true,false,false,false,495,29,true,,6411,MUR,,,,Thu Jan 27 15:02:26 UTC 2011,Thu Jan 27 15:02:26 UTC 2011
2654316,"$MU in the 6&#39;s, when i  bought tons of it, Cramer hated it so i lightened up in the 8&#39;s. NOW he loves it and i only have 1k shares. go regis",6220,suzylat,default,normal,http://avatars.stocktwits.com/production/6220/thumb-1295995543.png?2654316,https://s3.amazonaws.com/st-avatars/production/6220/thumb-1295995543.png?2654316,false,false,0,false,false,false,false,false,13,1,false,,6403,MU,,,,Thu Jan 27 15:05:40 UTC 2011,Thu Jan 27 15:05:40 UTC 2011
2654422,$MU can it get through 10.50 huge offer?,6220,suzylat,default,normal,http://avatars.stocktwits.com/production/6220/thumb-1295995543.png?2654422,https://s3.amazonaws.com/st-avatars/production/6220/thumb-1295995543.png?2654422,false,false,0,false,false,false,false,false,13,1,false,,6403,MU,,,,Thu Jan 27 15:09:03 UTC 2011,Thu Jan 27 15:09:03 UTC 2011
2654591,$MUR is making higher lows on the 5m chart today (since breaching below 64).,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2654591,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2654591,false,false,0,false,false,false,false,false,495,29,true,,6411,MUR,,,,Thu Jan 27 15:13:14 UTC 2011,Thu Jan 27 15:13:14 UTC 2011
2654608,"$MU out 10,000 shrs for 8 % gain for 4 days.I love this stock, ",31686,rl6570,default,normal,http://avatars.stocktwits.com/images/default_avatar_thumb.jpg?2654608,https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg?2654608,false,false,0,false,false,false,false,false,0,1,false,,6403,MU,,,,Thu Jan 27 15:13:53 UTC 2011,Thu Jan 27 15:13:53 UTC 2011
2654640,sold 1/2 of $MU at 10.49,6220,suzylat,default,normal,http://avatars.stocktwits.com/production/6220/thumb-1295995543.png?2654640,https://s3.amazonaws.com/st-avatars/production/6220/thumb-1295995543.png?2654640,false,false,0,false,false,false,false,false,13,1,false,,6403,MU,,,,Thu Jan 27 15:15:30 UTC 2011,Thu Jan 27 15:15:30 UTC 2011
2654768,unwound $MUR &gt;+$1,7874,biggercapital,default,normal,http://avatars.stocktwits.com/production/7874/thumb-1287422637.png?2654768,https://s3.amazonaws.com/st-avatars/production/7874/thumb-1287422637.png?2654768,false,false,0,false,false,false,false,false,299,300,true,,6411,MUR,,,,Thu Jan 27 15:19:44 UTC 2011,Thu Jan 27 15:19:44 UTC 2011
2654794,$MU sometimes listen to cramer not by Avian....,31686,rl6570,default,normal,http://avatars.stocktwits.com/images/default_avatar_thumb.jpg?2654794,https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg?2654794,false,false,0,false,false,false,false,false,0,1,false,,6403,MU,,,,Thu Jan 27 15:20:25 UTC 2011,Thu Jan 27 15:20:25 UTC 2011
2654871,Added $MUR here at 65.75,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2654871,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2654871,false,false,0,false,false,false,false,false,495,29,true,,6411,MUR,,,,Thu Jan 27 15:23:06 UTC 2011,Thu Jan 27 15:23:06 UTC 2011
2654888,$MU should see $11 very soon,40074,louiswinthorpeIV,default,normal,http://avatars.stocktwits.com/production/40074/thumb-1294270074.png?2654888,https://s3.amazonaws.com/st-avatars/production/40074/thumb-1294270074.png?2654888,false,false,0,false,false,false,false,false,0,0,false,,6403,MU,,,,Thu Jan 27 15:23:35 UTC 2011,Thu Jan 27 15:23:35 UTC 2011
2654924,What is nuts is that I bought $MU at 7.xx and sold at 9.00 thinking I was GOD.  Man was I wrong!!,10523,Kaunteya,default,normal,http://avatars.stocktwits.com/production/10523/thumb-1268842213.png?2654924,https://s3.amazonaws.com/st-avatars/production/10523/thumb-1268842213.png?2654924,false,false,0,false,false,false,false,false,69,16,false,,6403,MU,,,,Thu Jan 27 15:24:21 UTC 2011,Thu Jan 27 15:24:21 UTC 2011
2654935,$MUR stop at 65.5 on balance.,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2654935,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2654935,false,false,0,false,false,false,false,false,495,29,true,,6411,MUR,,,,Thu Jan 27 15:24:44 UTC 2011,Thu Jan 27 15:24:44 UTC 2011
2655004,"On $MUR, I set my stop at 65.5 on the balance. locking in .80c",12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2655004,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2655004,false,false,0,false,false,false,false,false,496,29,true,,6411,MUR,,,,Thu Jan 27 15:27:51 UTC 2011,Thu Jan 27 15:27:51 UTC 2011
2655448,"Murphy&#39;s Law. Murphy Oil top S&amp;P 500 loser. $MUR down 10% on EPS miss. Murphy Oil Soap maker $CL also off 2% on weak sales. Coincidence?
2655505,Selling 1/3 $MUR at 67 ; stop moved up to 66.25 on balance,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2655505,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2655505,false,false,0,false,false,false,false,false,496,29,true,,6411,MUR,,,,Thu Jan 27 15:50:04 UTC 2011,Thu Jan 27 15:50:04 UTC 2011
2655585,"$MU new P&amp;F pattern Double top break out 1-27-11 premlim price target 19 http://stockcharts.com/def/servlet/SC.pnf?c=MU,P&amp;listNum=",40064,God,default,normal,http://avatars.stocktwits.com/production/40064/thumb-1294328836.png?2655585,https://s3.amazonaws.com/st-avatars/production/40064/thumb-1294328836.png?2655585,false,false,0,false,false,false,false,false,0,4,false,,6403,MU,,,,Thu Jan 27 15:54:09 UTC 2011,Thu Jan 27 15:54:09 UTC 2011
2655665,"RT @TradeKwonDo $MU  price action looking tired here, ~10.55&gt;&gt;&gt; NOT!!!",18645,TradeBender,default,normal,http://avatars.stocktwits.com/production/18645/thumb-1332980205.png?2655665,https://s3.amazonaws.com/st-avatars/production/18645/thumb-1332980205.png?2655665,false,false,0,false,false,false,false,false,2,22,false,18645,6403,MU,,18645,TradeKwonDo,Thu Jan 27 15:58:10 UTC 2011,Thu Jan 27 15:58:10 UTC 2011
2655879,stop hit on $MUR on balance ; +2.15 on avg,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2655879,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2655879,false,false,0,false,false,false,false,false,497,29,true,,6411,MUR,,,,Thu Jan 27 16:09:08 UTC 2011,Thu Jan 27 16:09:08 UTC 2011
2655887,$MU I think it will hold 6% - 7% for today...awesome ,31686,rl6570,default,normal,http://avatars.stocktwits.com/images/default_avatar_thumb.jpg?2655887,https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg?2655887,false,false,0,false,false,false,false,false,0,1,false,,6403,MU,,,,Thu Jan 27 16:09:33 UTC 2011,Thu Jan 27 16:09:33 UTC 2011
2656687,"$MU $AAPL - About $MU popping up. I will wait 1 week to see how this goes... Prudence, Pacience, Perceverance - Pays",25360,phoenixtrader,default,normal,http://avatars.stocktwits.com/production/25360/thumb-1286496960.png?2656687,https://s3.amazonaws.com/st-avatars/production/25360/thumb-1286496960.png?2656687,false,false,0,false,false,false,false,false,8,1,false,,"6403,686","MU,AAPL",,,,Thu Jan 27 16:43:03 UTC 2011,Thu Jan 27 16:43:03 UTC 2011
2658892,$MUR hanging around 50% retracement from today&#39;s move. Shocking.,12134,1nvestor,default,normal,http://avatars.stocktwits.com/production/12134/thumb-1325453222.png?2658892,https://s3.amazonaws.com/st-avatars/production/12134/thumb-1325453222.png?2658892,false,false,0,false,false,false,false,false,498,29,true,,6411,MUR,,,,Thu Jan 27 18:39:04 UTC 2011,Thu Jan 27 18:39:04 UTC 2011
