id,body,user_id,user_login,message_source,message_type,avatar_url,avatar_url_ssl,investor_relations,private_relations,reply_count,reply_parent,chart,forex,future,filtered,followers,following,recommended,mention_ids,stock_ids,stock_symbols,in_reply_to_message_id,in_reply_to_user_id,in_reply_to_user_login,updated_at,created_at
508792,"writing an article on airline stocks tonight, just found out they have an etf - $FAA , looks pretty bullish but very thin trading",60,downtowntrader,default,normal,http://avatars.stocktwits.com/production/60/thumb-1291180624.png?508792,https://s3.amazonaws.com/st-avatars/production/60/thumb-1291180624.png?508792,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,9,10,TRUE,,5282,FAA,,,,Mon Aug 24 03:54:48 UTC 2009,Mon Aug 24 03:54:48 UTC 2009
530771,"Going to do more of my normal dip buy with $CAT at 44.90. This has worked vert well lately, but obviously won&#39;t at some point.",581,delete,default,normal,http://avatars.stocktwits.com/production/581/thumb-1251816102.png?530771,https://s3.amazonaws.com/st-avatars/production/581/thumb-1251816102.png?530771,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,16,FALSE,,4656,CAT,,,,Tue Sep 01 15:19:48 UTC 2009,Tue Sep 01 15:19:48 UTC 2009
530927,Rumor that $WFC is in trouble.  On some squawks.  ,639,bondscoop,default,normal,http://avatars.stocktwits.com/production/639/thumb-1251817287.png?530927,https://s3.amazonaws.com/st-avatars/production/639/thumb-1251817287.png?530927,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,TRUE,,7718,WFC,,,,Tue Sep 01 15:36:13 UTC 2009,Tue Sep 01 15:36:13 UTC 2009
532472,short some $IWM,39,alphatrends,default,normal,http://avatars.stocktwits.com/production/39/thumb-1250541414.png?532472,https://s3.amazonaws.com/st-avatars/production/39/thumb-1250541414.png?532472,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,223,9,TRUE,,5930,IWM,,,,Tue Sep 01 19:22:27 UTC 2009,Tue Sep 01 19:22:27 UTC 2009
535410,"Still waiting on $PAY, slow painful grind up, looking for some action to jump in for some quick trades",1616,Torps,default,normal,http://avatars.stocktwits.com/production/1616/thumb-1253285218.png?535410,https://s3.amazonaws.com/st-avatars/production/1616/thumb-1253285218.png?535410,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,,6676,PAY,,,,Wed Sep 02 15:55:46 UTC 2009,Wed Sep 02 15:55:46 UTC 2009
538247,"Took 1/2 off those $MA calls at 7.30 for +.20. Stock is relatively strong, but mkt is stronger. If mkt catches a bid, $MA should rip.",259,Attitrade,default,normal,http://avatars.stocktwits.com/production/259/thumb-1292371142.png?538247,https://s3.amazonaws.com/st-avatars/production/259/thumb-1292371142.png?538247,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,34,11,FALSE,,6228,MA,,,,Thu Sep 03 14:03:33 UTC 2009,Thu Sep 03 14:03:33 UTC 2009
539109,"$GC_F pay special attention2the item of the week,seems there&#39;s hunger4gold2test 1k even during today&#39;s session,this is a really strong move",165,infovestment,default,normal,http://avatars.stocktwits.com/production/165/thumb-1332086665.png?539109,https://s3.amazonaws.com/st-avatars/production/165/thumb-1332086665.png?539109,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,FALSE,93,87,TRUE,,648,GC_F,,,,Thu Sep 03 15:41:47 UTC 2009,Thu Sep 03 15:41:47 UTC 2009
